edges,edge_labels,query_edge,query_label,story_id
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7), (1, 2), (1, 0), (0, 2), (3, 1), (1, 1), (5, 0), (0, 0), (1, 0), (1, 1), (5, 2), (5, 2), (3, 2), (1, 0), (2, 4), (2, 2), (4, 0), (6, 2), (3, 0), (3, 7), (6, 6), (1, 2), (6, 4)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'living_in_same_place', 'sister_in_law_of', 'grandfather_of', 'nephew_of', 'no_sisters', 'parent_of', 'no_sisters', 'wife_of', 'no_daughters', 'wife_of', 'living_in_same_place', 'living_in_same_place', 'living_in_same_place', 'living_in_same_place', 'is_male', 'son_of', 'living_in_same_place', 'father_of', 'living_in', 'no_brothers', 'parent_of', 'maternal_aunt_or_uncle_of']","(2, 3)","['living_in_same_place', 'grandson_of', 'grandchild_of']",4
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (0, 4), (4, 1), (2, 4), (0, 3), (2, 4), (1, 4), (1, 1), (2, 0), (0, 4), (3, 3), (3, 2), (3, 0), (2, 0), (3, 3), (4, 2), (1, 2)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'nephew_of', 'husband_of', 'son_in_law_of', 'brother_in_law_of', 'father_in_law_of', 'son_of', 'no_daughters', 'sibling_of', 'husband_of', 'is_female', 'living_in_same_place', 'parent_in_law_of', 'paternal_grandfather_of', 'no_daughters', 'living_in_same_place', 'living_in_same_place']","(0, 1)","['brother_of', 'grandchild_of', 'aunt_or_uncle_of', 'grandparent_of', 'grandfather_of', 'grandson_of', 'sibling_of', 'father_of', 'paternal_grandparent_of', 'paternal_aunt_or_uncle_of', 'nibling_of', 'uncle_of', 'child_of', 'son_of', 'parent_of', 'nephew_of']",1
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7), (6, 1), (1, 2), (1, 1), (2, 6), (3, 2), (0, 6), (0, 2), (0, 7), (0, 5), (0, 1), (0, 4), (2, 2), (2, 0), (1, 2), (4, 2), (4, 2), (2, 2), (1, 3), (6, 5), (5, 4), (3, 1), (0, 0), (0, 1), (4, 4)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'nephew_of', 'mother_in_law_of', 'no_brothers', 'grandfather_of', 'sister_in_law_of', 'colleague_of', 'grandchild_of', 'living_in', 'husband_of', 'living_in_same_place', 'living_in_same_place', 'no_daughters', 'husband_of', 'grandchild_of', 'living_in_same_place', 'parent_of', 'no_brothers', 'living_in_same_place', 'father_in_law_of', 'living_in_same_place', 'wife_of', 'no_sisters', 'grandchild_of', 'is_male']","(0, 1)","['living_in_same_place', 'grandchild_of', 'grandparent_of', 'grandfather_of', 'grandson_of', 'child_of', 'son_of', 'paternal_grandparent_of']",28
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7), (3, 6), (2, 5), (3, 2), (0, 2), (3, 5), (0, 4), (4, 1), (3, 1), (5, 5), (0, 5), (2, 5), (3, 3), (3, 1), (3, 4), (2, 3), (3, 3), (1, 4), (3, 2), (1, 5), (4, 3), (1, 1), (5, 5), (2, 2)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'is_place', 'living_in', 'brother_in_law_of', 'living_in_same_place', 'living_in_same_place', 'living_in_same_place', 'living_in_same_place', 'living_in_same_place', 'grandparent_of', 'is_female', 'sister_in_law_of', 'parent_in_law_of', 'no_sons', 'spouse_of', 'brother_of', 'parent_of', 'no_sisters', 'son_in_law_of', 'uncle_of', 'son_in_law_of', 'grandson_of', 'no_brothers', 'no_brothers', 'no_brothers']","(4, 7)",['Not_living_in'],51
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7), (5, 1), (5, 6), (1, 5), (0, 4), (5, 0), (4, 0), (1, 4), (6, 6), (5, 0), (1, 5), (4, 4), (6, 6), (5, 6), (1, 0), (1, 4), (6, 5), (3, 1), (3, 3), (2, 1), (1, 3), (2, 4), (1, 7)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'mother_in_law_of', 'niece_of', 'sister_of', 'grandson_of', 'sibling_in_law_of', 'daughter_of', 'niece_of', 'is_male', 'spouse_of', 'living_in_same_place', 'no_brothers', 'no_sisters', 'grandmother_of', 'living_in_same_place', 'living_in_same_place', 'living_in_same_place', 'sister_of', 'no_brothers', 'living_in_same_place', 'living_in_same_place', 'sister_of', 'living_in']","(3, 2)","['aunt_of', 'aunt_or_uncle_of', 'living_in_same_place', 'maternal_aunt_or_uncle_of']",41
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7), (6, 0), (0, 4), (4, 3), (0, 4), (3, 0), (3, 3), (2, 5), (4, 3), (2, 3), (4, 4), (0, 3), (4, 1), (3, 7), (3, 2), (6, 5), (4, 6), (3, 3), (5, 2), (2, 2), (0, 2), (2, 5), (1, 1), (0, 6)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'sister_in_law_of', 'father_of', 'father_of', 'nephew_of', 'aunt_of', 'is_underage', 'school_mates_with', 'son_in_law_of', 'living_in_same_place', 'no_sisters', 'living_in_same_place', 'living_in_same_place', 'living_in', 'sister_in_law_of', 'living_in_same_place', 'father_of', 'no_brothers', 'brother_in_law_of', 'no_sons', 'son_in_law_of', 'brother_of', 'is_underage', 'child_of']","(1, 4)",['living_in_same_place'],54
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (0, 4), (1, 0), (0, 5), (4, 2), (0, 2), (2, 0), (0, 2), (0, 0), (2, 0), (4, 3), (1, 4), (3, 3), (2, 3), (0, 4), (2, 0), (2, 1)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'nephew_of', 'living_in_same_place', 'living_in', 'husband_of', 'parent_of', 'nephew_of', 'living_in_same_place', 'no_sisters', 'child_in_law_of', 'grandchild_of', 'aunt_of', 'no_sons', 'living_in_same_place', 'living_in_same_place', 'husband_of', 'son_in_law_of']","(3, 0)","['grandparent_of', 'maternal_grandparent_of', 'living_in_same_place']",57
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (3, 4), (4, 4), (0, 2), (1, 0), (1, 0), (0, 0), (2, 1), (0, 3), (1, 3), (1, 3), (2, 4), (3, 3), (5, 3), (3, 3), (2, 0), (4, 1), (3, 6), (2, 5), (2, 0)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'sister_in_law_of', 'is_male', 'father_in_law_of', 'colleague_of', 'child_of', 'no_sons', 'grandmother_of', 'uncle_of', 'sibling_in_law_of', 'parent_of', 'daughter_in_law_of', 'no_brothers', 'mother_of', 'is_underage', 'living_in_same_place', 'living_in_same_place', 'living_in', 'spouse_of', 'sibling_of']","(3, 5)","['nibling_of', 'maternal_aunt_or_uncle_of', 'living_in_same_place', 'niece_of', 'child_of', 'daughter_of', 'aunt_or_uncle_of', 'aunt_of']",50
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7), (3, 4), (3, 7), (0, 1), (1, 2), (6, 1), (1, 4), (5, 3), (1, 1), (4, 5), (2, 6), (4, 5), (4, 1), (3, 3), (5, 1), (0, 1), (2, 4), (1, 0), (0, 6), (0, 6), (3, 3), (4, 1), (0, 0), (5, 1), (5, 5)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'living_in_same_place', 'living_in', 'father_in_law_of', 'nephew_of', 'son_in_law_of', 'child_of', 'granddaughter_of', 'is_underage', 'parent_of', 'father_of', 'sibling_of', 'father_of', 'no_sons', 'parent_of', 'living_in_same_place', 'sibling_of', 'sibling_of', 'living_in_same_place', 'brother_of', 'is_female', 'maternal_grandmother_of', 'is_underage', 'paternal_grandfather_of', 'no_sisters']","(1, 4)","['child_of', 'nephew_of', 'brother_of', 'uncle_of', 'grandchild_of', 'grandson_of', 'nibling_of', 'son_of', 'paternal_uncle_of', 'sibling_of', 'living_in_same_place', 'aunt_or_uncle_of']",34
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7), (1, 2), (0, 1), (2, 0), (5, 2), (2, 0), (4, 2), (6, 5), (6, 0), (3, 4), (0, 0), (6, 3), (3, 3), (6, 5), (3, 2), (1, 0), (3, 3), (1, 6), (4, 3), (5, 5), (3, 7), (4, 4)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'sibling_in_law_of', 'son_of', 'nibling_of', 'daughter_of', 'child_of', 'sister_in_law_of', 'husband_of', 'brother_of', 'daughter_in_law_of', 'no_daughters', 'brother_of', 'is_underage', 'child_in_law_of', 'grandchild_of', 'sibling_of', 'no_sisters', 'maternal_aunt_or_uncle_of', 'maternal_grandparent_of', 'no_sons', 'living_in', 'no_daughters']","(6, 0)","['brother_of', 'aunt_or_uncle_of', 'uncle_of', 'nephew_of', 'paternal_uncle_of', 'sibling_of', 'nibling_of']",42
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7), (6, 1), (1, 2), (1, 1), (2, 6), (3, 2), (0, 6), (0, 2), (0, 7), (0, 5), (0, 1), (0, 4), (2, 2), (2, 0), (1, 2), (4, 2), (4, 2), (2, 2), (1, 3), (6, 5), (5, 4), (3, 1), (0, 0), (0, 1), (4, 4)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'nephew_of', 'mother_in_law_of', 'no_brothers', 'grandfather_of', 'sister_in_law_of', 'colleague_of', 'grandchild_of', 'living_in', 'husband_of', 'living_in_same_place', 'living_in_same_place', 'no_daughters', 'husband_of', 'grandchild_of', 'living_in_same_place', 'parent_of', 'no_brothers', 'living_in_same_place', 'father_in_law_of', 'living_in_same_place', 'wife_of', 'no_sisters', 'grandchild_of', 'is_male']","(2, 7)",['living_in'],28
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7), (1, 4), (5, 3), (2, 1), (6, 3), (2, 1), (3, 7), (3, 1), (5, 2), (4, 4), (2, 2), (0, 2), (1, 5), (4, 6), (2, 0), (4, 4), (4, 5), (1, 6), (4, 3), (2, 2), (3, 5), (0, 0), (2, 2)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'daughter_of', 'child_in_law_of', 'niece_of', 'school_mates_with', 'child_of', 'living_in', 'living_in_same_place', 'grandmother_of', 'no_sons', 'is_underage', 'son_in_law_of', 'living_in_same_place', 'living_in_same_place', 'living_in_same_place', 'is_male', 'father_of', 'paternal_grandfather_of', 'sibling_in_law_of', 'no_daughters', 'sister_of', 'is_underage', 'no_brothers']","(5, 6)",['living_in_same_place'],17
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (0, 4), (1, 0), (0, 5), (4, 2), (0, 2), (2, 0), (0, 2), (0, 0), (2, 0), (4, 3), (1, 4), (3, 3), (2, 3), (0, 4), (2, 0), (2, 1)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'nephew_of', 'living_in_same_place', 'living_in', 'husband_of', 'parent_of', 'nephew_of', 'living_in_same_place', 'no_sisters', 'child_in_law_of', 'grandchild_of', 'aunt_of', 'no_sons', 'living_in_same_place', 'living_in_same_place', 'husband_of', 'son_in_law_of']","(0, 4)","['nephew_of', 'living_in_same_place', 'grandchild_of', 'paternal_uncle_of', 'father_of', 'child_of', 'grandfather_of', 'child_in_law_of', 'aunt_or_uncle_of', 'son_of', 'paternal_grandparent_of', 'sibling_of', 'son_in_law_of', 'brother_of', 'grandson_of', 'father_in_law_of', 'parent_in_law_of', 'uncle_of', 'paternal_aunt_or_uncle_of', 'brother_in_law_of', 'sibling_in_law_of', 'grandparent_of', 'nibling_of', 'parent_of']",57
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (0, 1), (1, 5), (4, 3), (1, 4), (2, 3), (3, 2), (2, 1), (4, 4), (1, 3), (4, 3), (1, 1), (4, 4), (3, 3), (2, 0), (0, 3), (1, 2), (3, 0)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'living_in_same_place', 'living_in', 'father_in_law_of', 'sibling_of', 'grandson_of', 'granddaughter_of', 'parent_of', 'no_brothers', 'living_in_same_place', 'nephew_of', 'is_underage', 'is_underage', 'no_sisters', 'nephew_of', 'brother_of', 'parent_in_law_of', 'child_of']","(2, 0)","['nephew_of', 'grandparent_of', 'nibling_of', 'grandfather_of', 'living_in_same_place']",20
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7), (6, 0), (0, 4), (4, 3), (0, 4), (3, 0), (3, 3), (2, 5), (4, 3), (2, 3), (4, 4), (0, 3), (4, 1), (3, 7), (3, 2), (6, 5), (4, 6), (3, 3), (5, 2), (2, 2), (0, 2), (2, 5), (1, 1), (0, 6)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'sister_in_law_of', 'father_of', 'father_of', 'nephew_of', 'aunt_of', 'is_underage', 'school_mates_with', 'son_in_law_of', 'living_in_same_place', 'no_sisters', 'living_in_same_place', 'living_in_same_place', 'living_in', 'sister_in_law_of', 'living_in_same_place', 'father_of', 'no_brothers', 'brother_in_law_of', 'no_sons', 'son_in_law_of', 'brother_of', 'is_underage', 'child_of']","(6, 7)",['living_in'],54
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (0, 3), (4, 0), (5, 3), (3, 4), (5, 1), (2, 3), (3, 4), (3, 1), (2, 3), (4, 0), (1, 1), (0, 0), (2, 2), (4, 5), (5, 4), (3, 3), (1, 5), (2, 2), (0, 2), (0, 1)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'father_in_law_of', 'niece_of', 'husband_of', 'mother_in_law_of', 'sibling_in_law_of', 'child_in_law_of', 'grandparent_of', 'grandmother_of', 'son_of', 'parent_of', 'is_female', 'no_sisters', 'is_underage', 'aunt_or_uncle_of', 'living_in_same_place', 'no_daughters', 'living_in_same_place', 'no_daughters', 'living_in_same_place', 'sibling_in_law_of']","(1, 3)","['living_in_same_place', 'grandchild_of', 'granddaughter_of']",21
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (7, 7), (3, 2), (2, 6), (2, 4), (2, 5), (0, 2), (5, 4), (2, 2), (5, 5), (4, 0), (3, 1), (0, 3), (3, 4), (3, 3), (5, 0), (0, 5), (1, 1), (5, 4), (1, 1), (4, 5), (0, 0), (5, 1), (5, 0)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'is_place', 'living_in_same_place', 'living_in', 'daughter_of', 'living_in_same_place', 'living_in_same_place', 'brother_of', 'is_underage', 'no_sisters', 'son_of', 'living_in_same_place', 'mother_of', 'grandparent_of', 'no_daughters', 'child_in_law_of', 'sibling_in_law_of', 'no_sisters', 'parent_in_law_of', 'no_brothers', 'son_of', 'no_brothers', 'grandson_of', 'parent_in_law_of']","(2, 7)",['Not_living_in'],32
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (0, 4), (4, 3), (0, 4), (1, 3), (4, 4), (0, 4), (5, 4), (1, 6), (5, 0), (2, 5), (3, 3), (5, 5), (5, 4), (1, 0), (2, 4), (2, 0), (0, 2)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'granddaughter_of', 'mother_in_law_of', 'spouse_of', 'school_mates_with', 'no_sons', 'daughter_of', 'daughter_in_law_of', 'living_in', 'paternal_grandmother_of', 'father_of', 'is_male', 'is_underage', 'aunt_of', 'daughter_of', 'living_in_same_place', 'spouse_of', 'maternal_aunt_or_uncle_of']","(2, 6)",['living_in'],33
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (0, 2), (0, 3), (1, 0), (5, 1), (3, 3), (1, 2), (2, 2), (3, 2), (5, 1), (2, 5), (3, 2), (0, 0), (4, 1), (3, 6), (5, 5), (2, 2), (4, 5), (2, 1), (5, 5), (2, 1), (4, 5)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'nibling_of', 'daughter_of', 'sibling_of', 'school_mates_with', 'no_sons', 'grandchild_of', 'is_male', 'daughter_of', 'nephew_of', 'father_of', 'daughter_in_law_of', 'is_underage', 'living_in_same_place', 'living_in', 'no_brothers', 'no_sisters', 'mother_of', 'nephew_of', 'no_sons', 'brother_in_law_of', 'sibling_of']","(4, 6)",['living_in'],15
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (5, 5), (6, 6), (0, 2), (0, 3), (1, 0), (5, 1), (3, 3), (1, 2), (2, 2), (3, 2), (5, 1), (2, 5), (3, 2), (0, 0), (4, 1), (3, 6), (5, 5), (2, 2), (4, 5), (2, 1), (5, 5), (2, 1), (4, 5)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'nibling_of', 'daughter_of', 'sibling_of', 'school_mates_with', 'no_sons', 'grandchild_of', 'is_male', 'daughter_of', 'nephew_of', 'father_of', 'daughter_in_law_of', 'is_underage', 'living_in_same_place', 'living_in', 'no_brothers', 'no_sisters', 'mother_of', 'nephew_of', 'no_sons', 'brother_in_law_of', 'sibling_of']","(1, 0)","['sibling_of', 'living_in_same_place', 'sister_of']",15
"[(0, 0), (1, 1), (2, 2), (3, 3), (4, 4), (2, 0), (0, 2), (0, 2), (2, 2), (1, 0), (0, 2), (0, 2), (0, 0), (3, 1), (1, 1), (2, 0), (0, 4), (4, 1), (1, 0)]","['is_person', 'is_person', 'is_person', 'is_person', 'is_place', 'son_of', 'parent_in_law_of', 'mother_of', 'is_underage', 'son_of', 'grandmother_of', 'sister_in_law_of', 'no_daughters', 'school_mates_with', 'no_sons', 'uncle_of', 'living_in', 'maternal_grandparent_of', 'sibling_in_law_of']","(1, 1)","['no_sons', 'aunt_or_uncle_of', 'is_underage', 'is_male', 'paternal_aunt_or_uncle_of', 'nibling_of', 'no_sisters', 'uncle_of', 'nephew_of']",22
